Date,Adj Close,Close,High,Low,Open,Volume,Daily_Return,Log_Return
2018-04-23,10584.7001953125,10584.7001953125,10638.349609375,10514.9501953125,10592.7998046875,194200,0.19547797489403163,0.0019528716532068399
2018-04-24,10614.349609375,10614.349609375,10636.7998046875,10569.0,10578.099609375,219200,0.28011576629851653,0.002797241731914462
2018-04-25,10570.5498046875,10570.5498046875,10612.599609375,10536.4501953125,10612.400390625,189200,-0.41264708907660097,-0.004135008266019891
2018-04-26,10617.7998046875,10617.7998046875,10628.400390625,10559.650390625,10586.5,335100,0.44699661676110836,0.004460005540255803
2018-04-27,10692.2998046875,10692.2998046875,10719.7998046875,10647.5498046875,10651.650390625,0,0.7016519558704637,0.006992018327494462
2018-04-30,10739.349609375,10739.349609375,10759.0,10704.599609375,10705.75,173800,0.4400344691688707,0.004390691482923282
2018-05-02,10718.0498046875,10718.0498046875,10784.650390625,10689.7998046875,10783.849609375,229700,-0.19833421447520427,-0.0019853115722468315
2018-05-03,10679.650390625,10679.650390625,10720.599609375,10647.4501953125,10720.150390625,185200,-0.3582686660562606,-0.003589119852419833
2018-05-04,10618.25,10618.25,10700.4501953125,10601.599609375,10700.4501953125,186500,-0.5749288448515077,-0.005765879228025447
2018-05-07,10715.5,10715.5,10725.650390625,10635.650390625,10653.150390625,168400,0.915875968262192,0.009117072584576636
2018-05-08,10717.7998046875,10717.7998046875,10758.5498046875,10689.400390625,10757.900390625,269800,0.021462411343375898,0.00021460108497364168
2018-05-09,10741.7001953125,10741.7001953125,10766.25,10689.849609375,10693.349609375,215400,0.22299717349214543,0.002227489038162844
2018-05-10,10716.5498046875,10716.5498046875,10785.5498046875,10705.0,10779.650390625,192100,-0.23413789407356056,-0.002344124254457977
2018-05-11,10806.5,10806.5,10812.0498046875,10724.4501953125,10741.9501953125,203100,0.839357787271755,0.008358547680564028
2018-05-14,10806.599609375,10806.599609375,10834.849609375,10774.75,10815.150390625,171400,0.0009217542682682378,9.217500201396874e-06
2018-05-15,10801.849609375,10801.849609375,10929.2001953125,10781.400390625,10812.599609375,254300,-0.04395462191344457,-0.00043964284789006357
2018-05-16,10741.099609375,10741.099609375,10790.4501953125,10699.7001953125,10751.9501953125,231100,-0.5624036826737067,-0.005639911268794516
2018-05-17,10682.7001953125,10682.7001953125,10777.25,10664.5,10775.599609375,214100,-0.5437005165795927,-0.005451839472282671
2018-05-18,10596.400390625,10596.400390625,10674.9501953125,10589.099609375,10671.849609375,223000,-0.8078463600931896,-0.008111271197454395
2018-05-21,10516.7001953125,10516.7001953125,10621.7001953125,10505.7998046875,10616.7001953125,0,-0.7521440524559053,-0.007549869197766206
2018-05-22,10536.7001953125,10536.7001953125,10558.599609375,10490.5498046875,10518.4501953125,241700,0.19017372016476575,0.0018999311888009693
